account_id,date,type,amount,balance,k_symbol,bank,account,operation
733,294.1182793948093,2,4540,32081,7,13,1715,4
811,453.50143402748,2,18174,46531,5,8,742,5
535,247.84527623712967,2,2740,22652,6,13,987,0
89,328.60537356031415,2,513,35839,0,6,195,5
935,80.76247877656203,1,57,23658,7,13,1715,3
539,408.8761563573346,2,2215,35567,5,11,1279,5
563,240.2814637802637,1,4690,83931,7,3,492,5
1070,362.78773834193436,1,3086,19699,7,12,579,3
257,309.0495921864792,2,4145,21859,7,4,1663,5
1158,461.08258223915675,2,13,12851,6,13,1715,2
955,65.75291764372614,1,3483,23697,7,13,1715,5
308,376.1882068779237,1,518,59661,0,6,1321,4
257,311.7430213724841,2,2159,5721,3,13,1715,2
954,364.4697586332509,2,13,31049,6,13,1715,5
530,406.6766236468243,1,3140,26693,3,13,1715,0
1106,268.70180997093496,2,15075,43550,7,13,1715,2
1158,398.46182453166733,0,10638,50743,7,13,1715,5
218,461.00849433138643,1,5635,37314,7,13,1715,3
46,277.4967931866111,2,3235,75590,7,13,1715,5
1161,413.31458084026434,1,69,58347,7,3,323,1
1186,450.28876070808366,1,61,34628,0,9,723,0
665,260.62559848543594,2,564,60568,6,13,1715,5
735,236.04990692033346,1,119,57585,7,7,743,3
845,457.5879689241641,1,19789,39336,7,0,588,0
718,307.3457938308976,2,3023,50817,0,2,936,4
788,243.05650069886906,1,103,44754,7,13,1715,3
575,141.77002423057357,2,8497,31235,0,6,1131,4
735,419.00036403061995,2,15126,28872,0,10,0,4
1159,466.1473625625017,2,5592,760,0,0,272,4
733,258.73613426887204,2,12,15532,3,13,1715,2
449,277.40115470925906,2,4230,36643,3,13,1715,3
811,247.57930412433797,1,65643,-22,3,13,1715,5
1029,383.23750061927905,2,1359,44905,7,3,117,0
387,417.2362805971755,2,645,14411,7,11,398,4
1207,414.7017900323454,1,38105,39805,0,10,1569,0
902,376.88263832701887,2,12289,28174,1,2,0,0
99,176.4812826767049,2,415,20030,7,13,1715,5
1242,340.065948686785,2,1080,29524,1,2,1350,4
811,268.3673190383667,1,1990,34509,0,2,195,3
1181,470.3649649864466,2,13,50665,0,10,651,4
591,266.02405495633917,2,810,12157,7,13,1715,5
907,453.29389112654206,2,4714,45670,7,12,988,4
439,400.3131703541949,2,5388,36240,7,13,1715,4
1217,367.03963007536396,1,4460,25707,6,13,1715,3
1070,405.00712330192897,2,1912,26841,7,13,1715,5
1152,401.89258394254466,2,1089,34685,7,13,1715,5
1161,329.69405401028973,1,4636,20199,0,6,272,2
1070,160.21552466702346,1,9274,27409,5,2,398,2
1215,381.9940092947025,2,15,7050,7,13,1715,4
520,229.45319133001152,1,8434,15800,0,13,1338,3
119,394.78826537105203,1,95,20578,7,7,991,2
106,248.0636519858442,2,108699,61212,5,2,595,5
196,248.21314097196463,1,2737,32346,6,13,1715,5
535,379.53183989525985,2,13,45081,7,13,1715,4
50,449.7844430009948,2,5066,32160,6,13,1715,3
521,410.54088715560806,2,3544,14961,7,10,0,4
1100,396.64452651517723,2,107,22003,7,13,1715,0
30,377.4010642451889,2,7700,48930,7,13,1715,5
902,445.4639708523909,2,646,415,0,12,1654,5
201,311.8000730044719,2,2198,30029,3,13,1715,5
265,128.63436014642537,1,471,30166,7,13,1715,5
218,344.00906493897065,2,777,15390,7,6,463,5
535,375.06094862938477,2,13,29894,7,13,1715,4
1225,255.30515470712976,2,2887,33640,6,13,1715,5
636,203.26915525451034,1,388,383,0,2,1347,4
129,438.61928672439893,2,28,14642,7,8,57,0
380,299.14296228468504,1,2411,23695,2,13,1715,3
302,257.4420002733439,1,4090,25627,7,13,1715,2
954,400.7158454954969,2,480,16117,7,13,1715,4
535,400.2852861247153,2,6810,37101,7,13,1715,4
917,208.39566294226805,2,2719,34073,7,13,1715,4
256,453.00724705670655,1,10496,47886,3,13,1715,3
526,363.4685789451465,2,14,2735,7,13,1715,0
1188,263.681834778239,1,87,12460,7,13,1715,3
218,166.39989329595483,2,9715,6828,7,13,1715,5
1237,426.2288799768271,2,8263,36224,7,13,1715,3
154,285.6808472570072,1,45244,63053,5,11,1531,2
771,268.3945443073033,2,104,9744,7,13,1715,5
667,305.8920395744637,1,5074,18844,7,4,347,5
384,251.8668875222051,2,13,39246,6,13,1715,5
806,282.7837520440797,2,7442,18420,7,0,1670,5
106,410.01666382293007,2,6100,27633,7,13,1715,5
1073,233.479685075604,2,3989,27701,7,13,1715,5
129,178.15556390941236,1,26,62434,7,2,769,0
82,178.85134374483428,2,2031,36176,0,5,1231,5
903,332.2677411224306,2,2832,33755,0,6,74,4
118,216.75137586941457,2,2447,13363,7,13,1715,5
354,465.46869266958527,1,3872,7827,5,4,214,0
1120,364.2544255757021,1,8454,27679,6,13,1715,3
1095,409.76547720133186,2,114,24345,7,13,1715,0
1186,420.91048312829383,2,14,44513,7,13,1715,4
1168,232.09960407566095,2,2565,27165,0,4,398,4
147,271.83028124777917,0,11318,30821,3,13,1715,5
257,385.66511478835395,2,1708,24165,7,13,1715,5
997,355.53977663799583,2,4205,25110,7,13,1715,2
902,432.1543223103452,2,4104,24695,3,13,1715,5
123,312.2566638832202,1,143,36624,3,13,1715,3
302,11.995721604157978,1,486,57313,7,13,1715,0
902,462.3553827068035,2,5,1599,7,13,1715,4
886,420.5016640165328,2,2227,35409,7,13,1715,4
37,309.26982990099305,1,4780,7601,7,13,1715,3
752,308.50907156949336,2,797,25275,7,13,1715,4
572,231.06680820796714,2,3777,23028,6,13,1715,4
1240,299.23980919313647,1,11,3586,3,13,1715,3
625,173.29022240368658,1,68,26379,5,12,190,5
339,224.31277271758347,1,22542,52034,0,5,256,4
1070,192.59433242716673,0,31121,44305,0,6,195,0
129,447.9393359962749,1,700,16611,7,13,1715,0
591,225.39475425309575,2,618,24372,5,13,1715,3
535,332.6498625463847,2,10,35229,6,13,1715,4
207,425.86401338178325,2,1792,19871,7,13,1715,5
209,330.8443655726277,1,283,36352,0,9,192,0
129,226.59555274134104,2,2772,942,0,2,1274,5
1187,456.0437928942923,1,11672,51896,7,13,1715,3
874,459.1742778948135,2,675,538,7,4,1121,1
1166,366.69128423338174,2,7455,64603,7,12,1715,2
218,303.76334080257936,2,5716,79458,7,11,705,5
401,353.6030246088384,0,960,37204,7,13,1715,5
816,277.06744537656544,1,4139,14074,7,3,1568,2
997,277.501147857575,2,1333,22495,6,13,1715,0
108,364.76004293547516,2,5431,29119,7,13,1715,5
401,216.9182921977921,2,98,14731,7,13,1715,2
129,388.9315286171288,2,129,24015,6,13,1715,3
859,350.86291576739086,2,3396,15907,7,13,1715,3
685,433.5476362606875,1,77,34844,6,13,1715,3
1091,402.2296196802669,1,2720,9978,7,13,1715,4
108,187.8880954852351,1,13567,55476,4,2,1109,4
276,141.32113565201922,0,3182,28653,3,13,1715,5
874,367.75179804422055,1,212,6575,7,13,1715,3
1110,260.7711267446962,2,4246,40309,7,13,1715,5
744,376.0490430846185,2,11714,609,7,13,1715,4
384,331.27782394376345,2,13,58902,7,13,1715,2
386,301.25022708492156,2,3974,18249,7,13,1715,0
521,395.1320183760868,1,212,60493,7,3,1715,0
1100,333.9626649308542,2,14,55763,5,8,118,0
535,451.50241071148207,1,7712,105214,7,13,1715,3
386,166.47669906072898,1,61,19924,7,13,1715,3
592,340.245481652012,2,23520,37050,5,12,859,2
958,362.40914021617544,1,4546,20806,7,13,1715,0
1181,459.85392280782037,2,19173,23930,6,13,1715,5
811,265.8020948326326,1,113,33012,7,13,1715,0
1230,374.6673915969586,2,2413,37333,3,13,1715,0
526,425.8932046845197,1,496,6793,7,13,1715,5
1161,161.05734419434464,1,3263,22771,7,3,817,3
265,435.9783742549957,1,153,18328,6,13,1715,5
956,222.84228373757722,0,6254,68235,0,9,1531,5
218,272.74238514126307,2,1705,42750,7,1,228,3
606,97.20783197481241,1,8312,5833,7,13,1715,2
207,244.7838368919185,2,19213,15432,7,13,1715,5
431,170.1492980551573,2,2064,31199,5,4,292,3
354,368.1661502648384,2,2414,564,7,11,807,4
257,463.07612756194504,2,505,58423,1,3,987,3
699,308.6703747949595,1,17841,75534,0,4,1338,4
265,412.4747154729336,1,68,12368,7,13,1715,4
1206,413.04507068544666,2,3431,18359,5,10,1403,4
1187,342.00686430773595,2,14769,33033,0,8,440,5
1217,44.077091336912815,1,35668,44503,5,8,557,4
1225,392.0705942984882,2,513,22273,3,13,1715,5
1217,406.8336088634181,2,16,7637,7,13,1715,5
402,183.29813298364377,1,2541,29021,6,13,1715,0
777,418.1304254491803,2,3175,18105,3,13,1715,5
218,383.6789109563985,2,2482,17847,4,9,1519,0
591,408.9823164841805,0,4507,33299,7,13,1715,3
986,404.7860730696471,2,20658,35286,7,13,0,0
1090,368.8370794140488,2,1473,24769,7,13,1715,3
1220,390.33649439940416,1,97,20861,7,8,0,0
203,402.0799695954064,1,119,37137,0,7,0,0
302,381.188047592275,2,2517,26244,6,13,1715,5
1138,314.6794173490671,2,34594,22223,7,13,287,4
1087,217.17370593937957,2,5737,39162,7,13,1715,5
1091,304.8848906504998,1,9281,20229,7,3,404,5
207,257.1248336354254,1,1058,41980,7,13,1715,3
591,57.055271063077,1,96,41499,5,1,188,0
784,366.31969762676886,2,3194,36758,7,13,1715,5
28,439.7372148625581,1,518,18194,3,13,1715,0
956,426.73597211755657,1,5651,24922,7,13,1715,3
811,333.04729944032965,1,33776,59974,0,1,1121,2
439,254.24007464642878,2,709,32937,7,1,1093,5
