account_id,date,type,operation,amount,balance,k_symbol,bank,account
A0000002974,1994-03-14,credit,collection_from_another_bank,9988,10861,pension,EF,6678096.0
A0000000142,1994-01-02,debit,withdraw_cash,5509,8542,,,
A0000002779,1994-01-06,debit,withdraw_cash,1218,36209,,,
A0000009307,1993-09-24,debit,interest_pmt,119,14862,interest_pmt,,
A0000002632,1994-01-02,debit,withdraw_cash,3501,22699,,OP,
A0000001678,1993-10-03,credit,deposit,109,2760,,,
A0000003435,1993-11-27,credit,interest_pmt,1251,2538,interest_pmt,,
A0000004240,1993-12-29,debit,withdraw_cash,31,19018,service,,
A0000005369,1993-05-25,credit,deposit,2321,71505,,,
A0000003117,1994-04-06,credit,deposit,23219,25931,,,
A0000008073,1993-06-07,credit,deposit,82,1865,,,
A0000001830,1994-03-15,credit,deposit,4509,31524,,,
A0000001610,1994-01-16,debit,withdraw_cash,6853,43314,,,
A0000002306,1993-08-13,credit,collection_from_another_bank,2103,27657,pension,CD,51710096.0
A0000001809,1993-07-04,credit,deposit,26842,75259,,,
A0000002484,1993-10-24,debit,transer_to_another_bank,2370,13628,,YZ,14275071.0
A0000001925,1993-11-21,debit,withdraw_cash,2123,37075,,,
A0000001453,1994-01-29,debit,withdraw_cash,1857,51989,,,
A0000011111,1994-03-09,debit,withdraw_cash,0,24807,service,,
A0000002554,1993-09-20,credit,interest_pmt,0,22227,interest_pmt,,
A0000000415,1993-12-31,debit,withdraw_cash,3710,29584,,,
A0000000018,1993-06-12,credit,interest_pmt,3288,28884,interest_pmt,UV,
A0000002417,1993-07-21,credit,collection_from_another_bank,15328,16822,,UV,9698333.0
A0000001787,1993-12-30,credit,interest_pmt,62,24759,interest_pmt,,
A0000002645,1993-10-28,debit,transer_to_another_bank,3337,44602,household,YZ,90183829.0
A0000002357,1994-02-02,debit,transer_to_another_bank,287,40724,loan_pmt,YZ,86590933.0
A0000001892,1993-11-07,debit,withdraw_cash,3892,34121,,,
A0000002293,1994-01-16,debit,transer_to_another_bank,6028,18402,,GH,0.0
A0000002503,1993-10-25,debit,transer_to_another_bank,1346,24709,insurrance_pmt,YZ,23628755.0
A0000001925,1994-01-24,credit,interest_pmt,19,19190,interest_pmt,,
A0000000362,1993-12-27,cash_withdraw,withdraw_cash,4367,51036,,,
A0000002732,1993-10-11,debit,withdraw_cash,0,15484,,,
A0000000748,1993-12-31,debit,withdraw_cash,133,30351,service,,
A0000002985,1993-07-31,credit,collection_from_another_bank,5224,22108,pension,MN,91635136.0
A0000003566,1993-11-13,credit,collection_from_another_bank,5869,15141,pension,WX,9249235.0
A0000001132,1994-01-01,credit,interest_pmt,0,46741,interest_pmt,,
A0000000212,1994-02-14,credit,deposit,1215,59937,,,
A0000001726,1994-01-11,debit,withdraw_cash,24766,45930,,,
A0000002082,1993-08-18,credit,collection_from_another_bank,5378,18230,pension,WX,9549997.0
A0000002896,1993-06-22,credit,deposit,27840,87141,,,
A0000001080,1994-04-03,credit,interest_pmt,59,1171,interest_pmt,,
A0000003745,1994-01-09,debit,transer_to_another_bank,3131,21717,household,YZ,10747783.0
A0000003935,1993-07-11,debit,transer_to_another_bank,2891,12097,household,YZ,50379770.0
A0000000401,1994-01-13,debit,withdraw_cash,3553,39410,,,
A0000003745,1994-04-10,debit,transer_to_another_bank,1833,21100,household,YZ,12154347.0
A0000000362,1993-10-27,credit,deposit,23096,33116,,,
A0000003064,1994-01-18,debit,collection_from_another_bank,8428,25718,pension,AB,
A0000002932,1993-06-27,debit,transer_to_another_bank,2955,25032,household,YZ,63093354.0
A0000003261,1994-03-05,debit,transer_to_another_bank,1096,43454,insurrance_pmt,YZ,12094998.0
A0000002425,1994-01-29,debit,withdraw_cash,12007,49889,,,
A0000001768,1994-01-03,credit,deposit,925,32694,,,
A0000002771,1993-09-26,credit,deposit,1158,65186,,,
A0000000813,1993-09-20,debit,transer_to_another_bank,354,60157,household,YZ,10320188.0
A0000000640,1994-01-10,debit,transer_to_another_bank,5297,7709,household,ST,0.0
A0000002985,1994-04-08,credit,collection_from_another_bank,16122,26334,pension,ST,52524673.0
A0000000559,1993-11-16,debit,transer_to_another_bank,5075,47281,household,YZ,10814816.0
A0000003935,1993-11-28,debit,transer_to_another_bank,9583,24921,,YZ,22253129.0
A0000003326,1993-08-09,credit,interest_pmt,187,42349,interest_pmt,,
A0000003713,1994-03-07,credit,collection_from_another_bank,3941,16380,pension,YZ,33656713.0
A0000002489,1993-10-19,debit,transer_to_another_bank,746,21244,household,YZ,2783099.0
A0000000044,1993-08-28,credit,collection_from_another_bank,7103,24399,pension,WX,49317031.0
A0000003213,1993-07-13,debit,transer_to_another_bank,871,17708,household,YZ,36436421.0
A0000001566,1994-01-01,debit,withdraw_cash,250,26540,service,,
A0000002128,1993-09-22,credit,interest_pmt,1770,20468,,,
A0000003352,1993-12-12,credit,collection_from_another_bank,21523,18259,pension,MN,10121670.0
