account_id,date,type,operation,amount,balance,k_symbol,bank,account
1074,398,2,4,4351,18035,7,12,1033
809,301,2,4,11,15440,7,11,393
10,396,1,0,2520,18474,5,10,590
1116,384,2,4,1474,18730,7,11,1217
1244,305,2,5,147,39070,3,12,1599
539,176,1,0,3215,99876,7,3,1230
874,389,1,2,2012,95292,7,1,1599
1140,386,1,3,0,13554,3,13,1599
917,309,2,4,4097,39603,0,12,1162
1053,336,1,2,376,18226,7,13,1599
892,293,1,3,205,16344,3,13,1599
1084,326,2,4,893,23773,0,10,909
369,461,1,2,2298,22124,7,13,1194
1198,339,1,3,9,17697,3,13,1599
114,316,1,2,165,36401,7,13,1599
986,174,1,3,108,60427,3,13,1599
975,465,0,3,264,18631,5,0,1479
25,294,2,4,125,28109,1,12,339
644,225,2,2,941,31437,7,13,1599
797,154,1,3,210,26934,3,13,1599
813,316,2,4,4524,45050,0,12,312
1118,247,1,0,4812,43845,5,2,334
625,349,2,4,7027,40230,0,12,200
665,301,2,4,401,47536,0,12,1085
1010,344,2,5,0,23012,6,13,1599
1023,373,1,5,0,59299,7,13,1599
536,211,1,3,44,42292,3,13,1599
1010,253,2,4,4999,22222,1,12,1572
659,144,1,3,111,28109,3,13,1599
496,392,2,0,241,24641,7,7,645
780,181,1,3,93,10517,3,13,1599
415,394,2,5,162,16486,7,13,184
951,397,2,4,1859,13919,0,10,198
180,429,0,5,2304,54028,7,13,1599
683,173,1,0,4876,24229,5,2,444
270,426,1,2,7543,18322,7,13,1599
1188,404,1,2,7445,28147,7,13,1599
796,463,2,4,2022,25384,0,12,1104
540,389,2,5,1,12352,7,13,1599
467,430,1,0,5409,23133,5,11,81
555,396,2,5,1148,13816,7,13,1599
225,406,1,3,10,26931,3,13,1599
954,458,1,3,14,15490,3,13,1599
958,307,1,0,5164,20262,5,11,334
592,185,1,0,6236,23828,5,7,124
405,270,0,4,3141,26421,7,10,35
203,400,2,4,5527,21504,0,6,19
1055,385,2,5,12767,52588,7,13,242
1,396,1,0,4495,17095,5,7,1490
601,379,2,5,3287,41601,7,13,1599
1089,398,1,3,92,27874,3,13,1599
309,215,2,4,3645,23340,0,8,1136
623,398,2,4,3399,23894,7,12,148
796,401,2,5,667,38033,7,13,1599
