account_id,date,type,operation,amount,balance,k_symbol,bank,account
1048.0,301.0,1.0,0.0,10580.0,40140.0,7.0,10.0,1668.0
329.0,161.0,0.0,2.0,1028.0,13652.0,2.0,13.0,1698.0
1136.0,443.0,2.0,0.0,69468.0,15746.0,7.0,10.0,1695.0
1020.0,247.0,1.0,1.0,1287.0,34876.0,1.0,12.0,1695.0
684.0,407.0,2.0,5.0,403.0,-41.0,7.0,13.0,1640.0
967.0,222.0,1.0,1.0,2037.0,36775.0,2.0,12.0,1666.0
1221.0,338.0,2.0,5.0,12915.0,-3937.0,7.0,13.0,1706.0
123.0,342.0,2.0,5.0,78.0,3916.0,2.0,13.0,1696.0
107.0,267.0,2.0,5.0,282.0,6742.0,2.0,13.0,1682.0
53.0,186.0,2.0,5.0,331.0,3964.0,4.0,13.0,1705.0
1250.0,472.0,2.0,5.0,90.0,-5343.0,7.0,13.0,1714.0
1123.0,402.0,2.0,5.0,2059.0,-1841.0,7.0,13.0,1387.0
205.0,177.0,1.0,0.0,35738.0,5169.0,7.0,11.0,1663.0
255.0,260.0,2.0,5.0,950.0,-1841.0,7.0,13.0,1709.0
81.0,88.0,2.0,5.0,5588.0,723.0,7.0,13.0,1702.0
312.0,37.0,2.0,1.0,67124.0,-2406.0,7.0,12.0,1680.0
309.0,174.0,1.0,0.0,16824.0,11439.0,7.0,11.0,1652.0
90.0,199.0,2.0,5.0,640.0,8414.0,4.0,13.0,1690.0
1219.0,417.0,2.0,5.0,1943.0,-5343.0,7.0,13.0,1708.0
221.0,84.0,2.0,4.0,19355.0,2100.0,7.0,12.0,1671.0
927.0,146.0,2.0,5.0,42512.0,-2402.0,7.0,12.0,1668.0
360.0,133.0,0.0,1.0,2768.0,15709.0,6.0,12.0,1653.0
520.0,154.0,0.0,1.0,4500.0,20504.0,7.0,12.0,1657.0
65.0,211.0,2.0,5.0,156.0,2549.0,3.0,13.0,1712.0
835.0,108.0,2.0,5.0,45488.0,-3370.0,7.0,13.0,1707.0
240.0,178.0,2.0,5.0,2747.0,-1376.0,7.0,13.0,1709.0
150.0,261.0,2.0,4.0,173.0,5123.0,1.0,13.0,1706.0
66.0,117.0,2.0,5.0,1726.0,2724.0,7.0,13.0,1704.0
94.0,238.0,2.0,5.0,414.0,962.0,7.0,13.0,1710.0
258.0,212.0,1.0,2.0,275.0,6114.0,1.0,13.0,1709.0
378.0,290.0,2.0,5.0,1017.0,186.0,7.0,13.0,1662.0
440.0,191.0,1.0,2.0,504.0,12946.0,1.0,13.0,1704.0
798.0,192.0,1.0,1.0,5673.0,31251.0,6.0,9.0,1540.0
155.0,127.0,0.0,2.0,1428.0,9587.0,4.0,13.0,1678.0
40.0,56.0,1.0,0.0,54300.0,-3724.0,7.0,13.0,1714.0
63.0,80.0,2.0,4.0,5728.0,1544.0,7.0,13.0,1702.0
93.0,291.0,2.0,5.0,137.0,4817.0,2.0,13.0,1685.0
177.0,185.0,2.0,5.0,2668.0,3313.0,7.0,13.0,1672.0
102.0,264.0,2.0,5.0,98.0,3000.0,2.0,13.0,1713.0
1063.0,416.0,2.0,0.0,62800.0,15777.0,7.0,9.0,1670.0
67.0,236.0,2.0,5.0,229.0,3754.0,4.0,13.0,1707.0
171.0,387.0,2.0,5.0,41.0,24.0,5.0,13.0,1712.0
751.0,283.0,1.0,0.0,23573.0,17966.0,7.0,10.0,1639.0
173.0,187.0,1.0,0.0,37400.0,2300.0,7.0,12.0,1686.0
98.0,223.0,2.0,5.0,495.0,-1382.0,7.0,13.0,1713.0
126.0,290.0,2.0,5.0,292.0,24.0,7.0,13.0,1709.0
980.0,104.0,2.0,5.0,59600.0,-3937.0,7.0,13.0,1709.0
69.0,125.0,1.0,4.0,1899.0,6402.0,6.0,13.0,1687.0
364.0,183.0,0.0,2.0,525.0,9864.0,2.0,13.0,1706.0
165.0,181.0,1.0,3.0,720.0,10470.0,1.0,13.0,1680.0
83.0,105.0,2.0,5.0,3869.0,962.0,7.0,13.0,1707.0
1114.0,283.0,1.0,1.0,582.0,31550.0,1.0,13.0,1712.0
239.0,114.0,0.0,1.0,5198.0,13849.0,7.0,12.0,1650.0
864.0,238.0,1.0,2.0,590.0,21643.0,1.0,13.0,1705.0
99.0,146.0,1.0,3.0,1020.0,7700.0,3.0,13.0,1701.0
358.0,174.0,0.0,2.0,941.0,14687.0,2.0,13.0,1693.0
