account_id,date,type,operation,amount,balance,k_symbol,bank,account
629,0,1,2,700,700,7,13,1715
165,0,1,2,900,900,7,13,1715
190,0,1,2,1000,1000,7,13,1715
998,0,1,2,600,600,7,13,1715
539,1,1,2,400,400,7,13,1715
703,1,1,2,1100,1100,7,13,1715
417,2,1,2,600,600,7,13,1715
658,2,1,2,1100,1100,7,13,1715
459,2,1,2,200,200,7,13,1715
216,2,1,2,800,800,7,13,1715
466,2,1,2,1000,1000,7,13,1715
138,3,1,2,300,300,7,13,1715
588,3,1,2,800,800,7,13,1715
627,3,1,2,800,800,7,13,1715
767,3,1,2,700,700,7,13,1715
588,4,1,0,5123,5923,5,12,1081
1214,4,1,2,400,400,7,13,1715
216,4,1,0,3401,4201,7,4,114
180,4,1,2,700,700,7,13,1715
506,5,1,2,500,500,7,13,1715
525,5,1,2,700,700,7,13,1715
506,6,1,0,3242,3742,7,9,763
921,6,1,2,500,500,7,13,1715
349,6,1,2,400,400,7,13,1715
539,6,1,0,5298,5698,5,10,269
633,6,1,2,900,900,7,13,1715
123,7,1,2,400,400,7,13,1715
349,7,1,2,6774,7174,7,13,1715
56,7,1,2,300,300,7,13,1715
459,7,1,2,11832,12032,7,13,1715
575,7,1,2,300,300,7,13,1715
442,7,1,2,500,500,7,13,1715
571,7,1,2,600,600,7,13,1715
209,7,1,2,1100,1100,7,13,1715
941,7,1,2,600,600,7,13,1715
1011,7,1,2,300,300,7,13,1715
917,7,1,2,800,800,7,13,1715
401,8,1,2,200,200,7,13,1715
102,8,1,2,400,400,7,13,1715
703,8,1,2,14264,15364,7,13,1715
467,8,1,2,900,900,7,13,1715
180,8,1,2,13851,14551,7,13,1715
998,8,1,2,17366,17966,7,13,1715
630,9,1,2,800,800,7,13,1715
777,9,1,2,1000,1000,7,13,1715
439,9,1,2,700,700,7,13,1715
941,9,1,0,6007,6607,5,6,1283
233,9,1,2,500,500,7,13,1715
364,10,1,2,400,400,7,13,1715
165,10,1,0,6207,7107,5,12,529
541,10,1,2,900,900,7,13,1715
233,10,1,2,12644,13144,7,13,1715
93,10,1,2,800,800,7,13,1715
627,11,1,0,6434,7234,5,7,597
658,11,1,2,14779,15879,7,13,1715
525,11,1,2,4507,5207,7,13,1715
777,11,1,2,6446,7446,7,13,1715
521,11,1,2,800,800,7,13,1715
190,11,1,2,17477,18477,7,13,1715
439,11,1,0,4276,4976,5,10,302
573,11,1,2,1100,1100,7,13,1715
401,12,1,0,5009,5209,5,0,942
985,12,1,2,1000,1000,7,13,1715
442,12,1,0,5718,6218,5,10,787
1111,12,1,2,800,800,7,13,1715
466,12,1,2,13967,14967,7,13,1715
767,12,1,2,6959,7659,7,13,1715
917,12,1,2,15914,16714,7,13,1715
1214,13,1,0,4470,4870,5,1,672
778,13,1,2,600,600,7,13,1715
460,13,1,2,800,800,7,13,1715
633,13,1,2,10737,11637,7,13,1715
1020,13,1,2,700,700,7,13,1715
1111,13,1,0,44749,45549,7,4,1401
468,13,1,2,200,200,7,13,1715
1249,13,1,2,1000,1000,7,13,1715
575,14,1,2,46552,46852,7,13,1715
670,14,1,2,500,500,7,13,1715
138,15,1,2,13156,13456,7,13,1715
398,16,1,2,1000,1000,7,13,1715
921,16,1,2,23323,23823,7,13,1715
1230,16,1,2,1100,1100,7,13,1715
1045,17,1,2,200,200,7,13,1715
111,17,1,2,300,300,7,13,1715
985,17,1,2,10792,11792,7,13,1715
623,18,1,2,200,200,7,13,1715
491,18,1,2,400,400,7,13,1715
1003,18,1,2,700,700,7,13,1715
336,19,1,2,700,700,7,13,1715
61,19,1,2,200,200,7,13,1715
275,20,1,2,1100,1100,7,13,1715
130,20,1,2,1000,1000,7,13,1715
129,20,1,2,700,700,7,13,1715
210,20,1,2,500,500,7,13,1715
1250,20,1,2,1100,1100,7,13,1715
629,21,1,2,7268,7968,7,13,1715
416,21,1,2,300,300,7,13,1715
720,21,1,2,200,200,7,13,1715
573,21,1,2,16125,17225,7,13,1715
788,21,1,2,400,400,7,13,1715
629,22,1,2,14440,22408,7,13,1715
325,22,1,2,700,700,7,13,1715
640,22,1,2,900,900,7,13,1715
78,22,1,2,300,300,7,13,1715
629,23,1,2,49752,72160,7,13,1715
1047,23,1,2,200,200,7,13,1715
573,23,1,2,36518,53743,7,13,1715
975,23,1,2,500,500,7,13,1715
1209,23,1,2,900,900,7,13,1715
1104,23,1,2,300,300,7,13,1715
1131,24,1,2,900,900,7,13,1715
137,24,1,2,1000,1000,7,13,1715
270,24,1,2,200,200,7,13,1715
629,25,1,2,21899,94059,7,13,1715
138,25,1,2,12336,25792,7,13,1715
470,25,1,2,1100,1100,7,13,1715
555,25,1,2,200,200,7,13,1715
444,25,1,2,700,700,7,13,1715
1149,25,1,2,1100,1100,7,13,1715
1149,25,1,2,19961,21061,7,13,1715
46,26,1,2,900,900,7,13,1715
716,26,1,2,1100,1100,7,13,1715
683,26,1,2,800,800,7,13,1715
306,26,1,2,600,600,7,13,1715
1,26,1,2,400,400,7,13,1715
312,27,1,2,200,200,7,13,1715
126,27,1,2,500,500,7,13,1715
1066,27,1,2,200,200,7,13,1715
773,27,1,2,200,200,7,13,1715
364,28,1,2,38000,38400,7,13,1715
571,28,1,2,16983,17583,7,13,1715
971,28,1,2,1000,1000,7,13,1715
567,28,1,2,300,300,7,13,1715
1049,29,1,2,300,300,7,13,1715
505,29,1,2,1000,1000,7,13,1715
732,29,1,2,800,800,7,13,1715
629,30,2,5,34700,59453,7,13,1715
506,30,1,3,12,3754,3,13,1715
703,30,1,3,47,15411,3,13,1715
401,30,1,3,13,5222,3,13,1715
233,30,1,3,37,13181,3,13,1715
1149,30,1,3,17,21078,3,13,1715
1214,30,1,3,11,4892,3,13,1715
364,30,1,3,15,38415,3,13,1715
985,30,1,3,22,11814,3,13,1715
998,30,1,3,55,18021,3,13,1715
1214,30,1,3,11,4881,3,13,1715
190,30,1,3,50,18527,3,13,1715
180,30,1,3,45,14596,3,13,1715
439,30,1,3,13,4989,3,13,1715
442,30,1,3,15,6233,3,13,1715
459,30,1,3,38,12070,3,13,1715
466,30,1,3,38,15005,3,13,1715
165,30,1,3,20,7127,3,13,1715
138,30,1,3,38,25830,3,13,1715
571,30,1,3,7,17590,3,13,1715
575,30,1,3,107,46959,3,13,1715
921,30,1,3,48,23871,3,13,1715
573,30,1,3,62,53805,3,13,1715
190,30,1,2,2900,21427,7,13,1715
588,30,1,3,21,5944,3,13,1715
539,30,1,3,19,5717,3,13,1715
525,30,1,3,14,5221,3,13,1715
941,30,1,3,19,6626,3,13,1715
917,30,1,3,42,16756,3,13,1715
216,30,1,3,15,4216,3,13,1715
1209,30,1,2,5282,6182,7,13,1715
629,30,1,3,94,94153,3,13,1715
627,30,1,3,19,7253,3,13,1715
633,30,1,3,28,11665,3,13,1715
658,30,1,3,42,15921,3,13,1715
1111,30,1,3,110,45659,3,13,1715
1209,30,1,3,0,6182,3,13,1715
349,30,1,3,23,7197,3,13,1715
777,30,1,3,20,7466,3,13,1715
767,30,1,3,19,7678,3,13,1715
998,30,1,2,2000,20021,7,13,1715
703,31,1,2,5100,20511,7,13,1715
451,31,1,2,1100,1100,7,13,1715
1130,32,1,2,200,200,7,13,1715
417,32,1,2,11900,12500,7,13,1715
685,32,1,2,1100,1100,7,13,1715
658,32,1,2,5500,21421,7,13,1715
459,32,1,2,7500,19570,7,13,1715
490,32,1,2,1100,1100,7,13,1715
800,32,1,2,800,800,7,13,1715
466,32,1,2,6000,21005,7,13,1715
231,32,1,2,200,200,7,13,1715
645,32,1,2,600,600,7,13,1715
138,33,2,5,25300,46177,7,13,1715
138,33,1,2,45647,71477,7,13,1715
308,33,1,2,1000,1000,7,13,1715
1090,33,1,2,700,700,7,13,1715
923,33,1,2,600,600,7,13,1715
255,33,1,2,800,800,7,13,1715
767,33,1,2,7000,14678,7,13,1715
134,34,1,2,700,700,7,13,1715
1039,34,1,2,900,900,7,13,1715
1208,34,1,2,300,300,7,13,1715
180,34,1,2,2900,17496,7,13,1715
629,35,1,2,30192,89645,7,13,1715
